ID,IP,time,day,choice
accept,36.112.184.249,2021年06月01日10:48:46,星期二,A
Admi,123.112.66.24,2021年06月01日00:18:43,星期二,A
afurol,10.4.227.125,2021年06月02日18:08:59,星期三,A
amoykang,59.59.58.6,2021年06月02日14:17:31,星期三,A
arzthxy,172.20.210.64,2021年06月04日18:06:28,星期五,B
augatuniv,172.20.98.178,2021年06月01日17:59:50,星期二,A
axtoxic,118.235.41.251,2021年06月07日05:49:12,星期一,A
bailangdx,172.20.17.151,2021年06月04日15:51:34,星期五,A
bananaskin,124.126.202.223,2021年06月04日19:25:11,星期五,A
bias,172.20.192.241,2021年06月04日14:55:50,星期五,B
bigdouble,172.20.113.147,2021年06月04日15:05:13,星期五,B
biuJON,10.2.36.2,2021年06月01日01:09:09,星期二,A
bjdoufei,211.71.48.234,2021年06月04日10:02:39,星期五,B
blueflash,222.29.141.135,2021年06月06日10:04:05,星期天,A
bonfire,42.245.220.79,2021年06月01日19:36:20,星期二,B
bradtido,223.104.41.154,2021年05月31日19:28:18,星期一,A
bridgefly,172.20.209.203,2021年06月04日12:21:13,星期五,A
Brielle,222.28.109.25,2021年06月04日08:51:07,星期五,B
Briseis,202.112.184.101,2021年06月05日10:41:37,星期六,B
bwcx,172.20.115.116,2021年06月07日10:50:04,星期一,B
catalyze,10.2.24.155,2021年05月31日21:32:18,星期一,A
ccmesongshu,110.241.32.115,2021年06月04日18:43:23,星期五,A
cgbdycz,211.82.68.51,2021年06月04日11:06:03,星期五,B
cxaicx,172.20.98.147,2021年06月07日10:49:59,星期一,B
Delusional,112.112.231.40,2021年05月31日21:21:29,星期一,A
derive,42.245.220.79,2021年06月01日19:34:42,星期二,B
desmondliang,10.0.220.69,2021年06月04日14:35:43,星期五,A
Destinii,42.245.220.28,2021年06月02日19:01:07,星期三,B
docidaci,223.104.38.230,2021年06月04日09:10:06,星期五,B
doctorfree,172.20.51.23,2021年06月01日10:38:47,星期二,A
ducker,172.20.65.192,2021年05月31日22:07:58,星期一,A
dvoraz,223.72.93.164,2021年06月03日07:55:08,星期四,A
Eden,172.20.242.213,2021年06月04日19:04:54,星期五,B
edenhazard,10.0.68.104,2021年06月02日20:27:58,星期三,A
eeeKd,42.245.220.79,2021年06月01日19:28:57,星期二,B
Einsieben,172.20.96.54,2021年06月06日09:28:54,星期天,A
euio,124.64.19.35,2021年06月03日14:05:07,星期四,A
EulerHuaji,10.128.188.215,2021年06月04日00:21:54,星期五,A
EzawaTamiko,10.2.88.107,2021年05月31日22:32:55,星期一,A
faruxue,223.104.38.25,2021年06月07日16:01:28,星期一,B
Fireworks,145.107.154.249,2021年05月31日18:16:57,星期一,A
fundamental,10.128.182.58,2021年05月31日23:03:40,星期一,A
gaodi,172.20.67.109,2021年06月04日11:31:22,星期五,B
gol,172.20.131.3,2021年05月31日21:33:29,星期一,A
Hangovers,114.254.2.123,2021年06月04日09:55:53,星期五,B
hanhanmei,211.71.50.77,2021年06月01日15:56:59,星期二,B
HANZPAN,172.20.131.66,2021年05月31日21:21:05,星期一,A
HelloOTS,172.20.34.26,2021年06月01日20:20:38,星期二,A
hhhhhhhhhhh,172.20.98.116,2021年06月03日11:45:41,星期四,B
himitsu,10.2.17.255,2021年05月31日18:10:50,星期一,A
houbuhoua,124.200.182.249,2021年06月01日15:55:52,星期二,A
hrcegg,10.1.168.132,2021年06月04日14:10:41,星期五,A
hscxcb,117.136.0.99,2021年06月06日23:53:48,星期天,A
idiocratic,10.2.214.18,2021年05月31日19:46:57,星期一,A
Iowa,10.0.33.83,2021年06月07日13:12:12,星期一,A
Iridaze,162.105.36.218,2021年06月06日14:12:18,星期天,A
jennyG,172.20.50.10,2021年06月02日17:05:18,星期三,A
kanez,36.112.81.226,2021年06月03日08:03:18,星期四,A
KennethPKU,223.104.38.37,2021年06月07日00:07:10,星期一,A
kitdzlove,104.237.159.66,2021年06月01日19:52:32,星期二,B
lemonlemon,211.82.69.92,2021年06月04日15:01:56,星期五,B
leppapebc,223.72.40.201,2021年05月31日18:34:30,星期一,A
LH,10.2.197.93,2021年06月07日11:10:19,星期一,A
Lithium,10.0.58.65,2021年05月31日18:40:26,星期一,A
lizx,10.2.216.242,2021年06月02日23:05:11,星期三,A
lnpku,222.29.101.158,2021年06月01日15:10:37,星期二,A
lohas,211.71.48.94,2021年06月03日11:08:13,星期四,B
lxy,10.2.39.238,2021年05月31日20:11:17,星期一,A
lyhsunny,172.20.179.11,2021年06月05日19:31:24,星期六,B
maonster,116.7.52.110,2021年06月03日11:17:53,星期四,A
mojave,162.105.87.33,2021年06月04日15:58:16,星期五,A
Moony,222.29.116.147,2021年06月03日10:54:20,星期四,A
motaguoke,10.1.59.229,2021年06月03日17:35:08,星期四,A
MrWolffy,10.0.38.40,2021年06月02日17:07:14,星期三,A
muktub,172.20.192.68,2021年06月07日10:46:32,星期一,B
Nachtmusik,114.249.134.157,2021年05月31日20:19:13,星期一,A
nancycat,172.20.243.92,2021年06月04日11:44:28,星期五,B
Noah,172.20.32.198,2021年06月02日09:08:24,星期三,B
pangshuaige,222.28.110.5,2021年06月02日15:41:38,星期三,A
pinellia,172.20.178.238,2021年06月07日00:00:17,星期一,B
pkuerljh,183.173.107.68,2021年06月05日09:39:38,星期六,A
Purpose,36.156.195.187,2021年06月03日18:33:56,星期四,A
puzhe,202.108.53.3,2021年06月07日11:56:00,星期一,A
Qiiiiii,10.0.6.39,2021年06月01日09:25:08,星期二,A
ququlongsha,99.184.133.104,2021年06月04日09:42:05,星期五,A
RayPrime,163.125.76.170,2021年06月07日07:56:58,星期一,A
Reines,123.113.32.172,2021年06月01日00:43:42,星期二,A
RichardGreen,10.0.84.18,2021年05月31日19:48:58,星期一,A
