ID,IP,time,day,choice
anotso,172.20.112.92,2021年05月02日03:45:09,星期天,A
astrolabe,172.20.65.106,2021年05月03日23:20:23,星期一,B
axtoxic,183.103.241.126,2021年05月03日01:52:30,星期一,A
Chiilin,111.192.116.41,2021年05月03日22:21:06,星期一,B
conezy,172.20.145.68,2021年04月28日13:41:39,星期三,A
craneth,123.112.65.163,2021年05月03日22:24:07,星期一,B
dodobus,223.72.211.80,2021年04月30日15:24:31,星期五,A
echoes,172.20.64.126,2021年05月03日23:43:45,星期一,B
Einsieben,36.112.177.182,2021年04月30日13:52:41,星期五,A
gol,172.20.224.52,2021年04月28日05:40:21,星期三,B
GuNai,10.2.216.149,2021年05月03日22:36:16,星期一,B
HANZPAN,172.20.130.164,2021年04月27日19:45:51,星期二,A
HelloOTS,172.20.97.93,2021年05月03日07:49:53,星期一,A
hnll,222.28.101.10,2021年04月30日13:17:24,星期五,A
HuayuSi,10.3.70.227,2021年05月04日10:35:01,星期二,B
idudu,118.144.11.12,2021年04月30日21:41:47,星期五,A
Keib,119.57.251.230,2021年04月29日09:35:58,星期四,A
kzhengPKU,10.0.50.219,2021年04月29日19:27:16,星期四,A
momohong,211.71.60.151,2021年05月03日23:31:27,星期一,B
Nachtmusik,114.251.223.252,2021年04月28日07:43:00,星期三,A
nashishenme,60.0.166.45,2021年04月29日18:47:35,星期四,B
parsio,10.2.78.29,2021年05月03日22:30:55,星期一,B
pencilpop,10.2.104.137,2021年05月04日09:20:11,星期二,B
pkuhb,219.143.183.226,2021年04月27日20:23:16,星期二,A
qinwei,211.71.60.15,2021年04月30日00:26:23,星期五,A
qui,117.136.0.149,2021年05月03日20:41:59,星期一,B
Shadow,10.1.53.31,2021年05月03日22:38:53,星期一,B
SheeranYoung,10.2.104.176,2021年05月03日23:57:52,星期一,B
Shirleen,10.2.62.203,2021年05月03日22:55:49,星期一,B
skygs,211.71.60.225,2021年05月03日22:08:43,星期一,B
SrinceW,10.1.65.26,2021年04月29日17:01:20,星期四,A
steveblade,172.20.147.90,2021年04月28日09:30:27,星期三,A
Talutsai,111.196.240.128,2021年05月02日01:07:11,星期天,A
tangmo,172.20.2.113,2021年05月02日23:49:25,星期天,A
Tavstar,172.20.210.136,2021年04月28日13:24:38,星期三,A
tsiau,172.20.147.88,2021年04月27日23:21:34,星期二,A
wenjiajia,117.136.38.49,2021年04月28日18:47:14,星期三,A
wuxian,172.20.129.10,2021年04月29日13:57:47,星期四,A
WZzzxxx,172.20.82.181,2021年05月03日22:44:15,星期一,B
xinglian,172.20.96.168,2021年04月29日11:26:46,星期四,A
yuewuzhen,211.71.60.225,2021年05月03日22:11:50,星期一,B
yxlixiang,223.72.59.219,2021年05月03日15:47:10,星期一,A
zaza,172.20.211.159,2021年05月01日09:27:59,星期六,A
ZBFSZX,172.20.33.113,2021年04月29日03:33:11,星期四,B
ZelmaYoung,172.20.50.227,2021年05月03日22:30:17,星期一,B
zhangercheng,172.20.33.182,2021年05月03日22:55:38,星期一,B
ZQM,210.73.76.97,2021年04月30日12:31:50,星期五,B
zznizhidao,172.20.241.155,2021年05月03日18:35:13,星期一,B
